Sl. No.,State,Name of Organization,Type of Museum,2019-20,2020-21,2021-22,2022-23,2023-24
52,Rajasthan,"Ram Gopal Vijayvargiya Memorial Trust, 2564, Vijayvargiya Building, Choura Rasta, Jaipur",New Museum,71.09,NA,NA,NA,NA
53,Rajasthan,"Vivekananda Museum, Ramakrishna Mission, Vivekananda Smriti Mandir, Khetri",New Museum,12.45,NA,NA,NA,NA
54,Rajasthan,"Veer Shiromani Maharana Pratap Samiti, Udaipur",New Museum,113.78,NA,112.5,NA,NA
55,Rajasthan,"Shri Girdhar Smarak Dharmarth Nyas Trust, (Shri Girdhar Smarak Trust) Kings Palace Jaisalmer Fort Palace Museum, Ofrt Jaisalmer Rajasthan",New Museum,NA,250,NA,NA,NA
56,Rajasthan,"Maharaja Sawai Man Singh II Museum, City Palace, jaipur Rajasthan",Existing Museum,NA,NA,NA,NA,200
57,Total,Total,Total,319.31,250,112.5,NA,200
58,Tamilnadu,"High Court of Madras, George Town, Chennai",Existing museum,NA,NA,19,NA,NA
59,Tamilnadu,"Department of Archaeology, Tamilnadu for Development up of Thirumalai Nayak Palace Site Museum Madurai",Existing museum,330.88,NA,NA,NA,NA
60,Tamilnadu,"Department of Museum, Govt. Of Tamilnadu for Development of Egmore Museum Egmore (iconic State Mueum, Tamilnadu",Existing museum,NA,541.38,NA,NA,NA
61,Total,Total,Total,330.88,541.38,19,NA,NA
62,Telangana,"Salar Jung Museum, Hyderabad, Telangana forsetting up of VEM on Hyderabad",VEM,NA,NA,NA,NA,33
63,Total,Total,Total,NA,NA,NA,NA,33
64,Tripura,Tripura Tourism Developmnt corporation for setting upof Maharaja brendra kishore manikya museum & kunjaban palace complex,Existing museum,NA,NA,500,NA,NA
65,Total,Total,Total,NA,NA,500,NA,NA
66,Uttar Pradesh,"Office of Cantonment Board, Carriappa, Shahjahanpur, Uttar Pradesh",New Museum,NA,98.93,100.03,NA,NA
67,Uttar Pradesh,"Allahabad High Court, Allahabad, Uttar Pradesh",Existing museum,NA,NA,NA,NA,10.48
68,Uttar Pradesh,"India Literacy board, Literacy House, Kanpur Pur Road, Lucknow.",New Museum,NA,NA,250,NA,NA
69,Uttar Pradesh,"Directorate of Museum, Govt. of Uttar Pradesh Establishment of Sant Ravidas Museum at Seer Govardhanpur, Varanasi",New Museum,NA,NA,NA,NA,500
70,Total,Total,Total,NA,98.93,350.03,NA,510.48
71,Uttarakhand,"Tourism and Culture, Uttaranchal, Uttarkhand (Himalayan Museum, Rishikesh)",New Museum,244.19,NA,NA,NA,NA
72,Uttarakhand,"Forest Research Institute, Dehradun, Uttrakhand",Existing museum,31.79,NA,39.66,NA,NA
73,Total,Total,Total,275.98,NA,39.66,NA,NA
74,West Bengal,"Ramakrishna Sarada Mission, Sister Nivedita Heritage Museum, Bosepara Lane, Baghbazar, Kolkata",New Museum,121.42,NA,NA,NA,NA
75,West Bengal,"Sir J C Bose Trust, Acharya Bhawan, 93 Acharya Prafulla Chandra Road, Kolkata",New Museum,170,NA,NA,NA,NA
76,West Bengal,"Directorate General Border Security Force (BSF) (Eastern Command), Kolkata",New Museum,NA,NA,324.35,NA,162.17
77,Total,Total,Total,291.42,NA,324.35,NA,162.17
78,Delhi,"Srinivas Malliah memorial Theatre Crafts Trust, Kamaadevi Bhawan, 5, Deen Dayal Upadhyay Marg, New Delhi",Existing museum,22.08,NA,NA,NA,NA
79,Delhi,"International Society for Krishna Consciousness, East of Kailash (ISKCON), New Delhi",Exiting Museum,NA,NA,NA,200,NA
80,Total,Total,Total,22.08,NA,NA,200,NA
